season,episode,title,total_votes,imdb_rating,air_date
1,1,Winter Is Coming,40650,9.1,14/10/2005
1,2,The Kingsroad,40657,8.8,5/3/1980
1,3,Lord Snow,40664,8.7,27/10/1975
1,4,"Cripples, Bastards, and Broken Things",40671,8.8,17/12/1971
1,5,The Wolf and the Lion,40678,9.1,16/11/1974
1,6,A Golden Crown,40685,9.2,19/2/1974
1,7,You Win or You Die,40692,9.2,11/6/1975
1,8,The Pointy End,40699,9,18/3/1970
1,9,Baelor,40706,9.6,26/2/1999
1,10,Fire and Blood,40713,9.5,12/1/1987
2,1,The North Remembers,41000,8.8,31/12/1967
2,2,The Night Lands,41007,8.5,22/3/1964
2,3,What Is Dead May Never Die,41014,8.8,16/6/1963
2,4,Garden of Bones,41021,8.8,14/5/1961
2,5,The Ghost of Harrenhal,41028,8.8,18/11/1961
2,6,The Old Gods and the New,41035,9.1,23/8/1964
2,7,A Man Without Honor,41042,8.9,23/12/1962
2,8,The Prince of Winterfell,41049,8.8,24/3/1962
2,9,Blackwater,41056,9.7,14/7/2008
2,10,Valar Morghulis,41063,9.4,25/11/1976
3,1,Valar Dohaeris,41364,8.8,2/12/1967
3,2,"Dark Wings, Dark Words",41371,8.6,6/7/1961
3,3,Walk of Punishment,41378,8.9,1/2/1962
3,4,And Now His Watch Is Ended,41385,9.6,6/9/1984
3,5,Kissed by Fire,41392,9,9/4/1963
3,6,The Climb,41399,8.8,28/11/1962
3,7,The Bear and the Maiden Fair,41406,8.7,3/11/1960
3,8,Second Sons,41413,9,3/6/1962
3,9,The Rains of Castamere,41427,9.9,14/7/2137
3,10,Mhysa,41434,9.2,27/8/1970
4,1,Two Swords,41735,9.1,22/3/1980
4,2,The Lion and the Rose,41742,9.7,22/7/2025
4,3,Breaker of Chains,41749,8.9,25/8/1967
4,4,Oathkeeper,41756,8.8,23/12/1964
4,5,First of His Name,41763,8.7,14/11/1962
4,6,The Laws of Gods and Men,41770,9.7,22/9/2015
4,7,Mockingbird,41777,9.1,14/1/1970
4,8,The Mountain and the Viper,41791,9.7,5/10/2025
4,9,The Watchers on the Wall,41798,9.6,9/11/2005
4,10,The Children,41805,9.7,21/12/2003
5,1,The Wars to Come,42106,8.5,10/5/1971
5,2,The House of Black and White,42113,8.5,16/12/1962
5,3,High Sparrow,42120,8.5,25/12/1960
5,4,Sons of the Harpy,42127,8.7,19/8/1962
5,5,Kill the Boy,42134,8.6,3/6/1963
5,6,"Unbowed, Unbent, Unbroken",42141,8,30/10/1971
5,7,The Gift,42148,9,10/4/1969
5,8,Hardhome,42155,9.9,10/5/2138
5,9,The Dance of Dragons,42162,9.5,22/4/2004
5,10,Mother's Mercy,42169,9.1,17/2/2001
6,1,The Red Woman,42484,8.5,19/3/1998
6,2,Home,42491,9.4,22/7/2015
6,3,Oathbreaker,42498,8.7,24/4/1982
6,4,Book of the Stranger,42505,9.1,5/8/1988
6,5,The Door,42512,9.7,4/12/2073
6,6,Blood of My Blood,42519,8.4,25/10/1981
6,7,The Broken Man,42526,8.6,15/6/1979
6,8,No One,42533,8.4,16/6/1990
6,9,Battle of the Bastards,42540,9.9,7/8/2406
6,10,The Winds of Winter,42547,9.9,16/3/2252
7,1,Dragonstone,42932,8.6,2/10/2026
7,2,Stormborn,42939,8.9,31/3/2009
7,3,The Queen's Justice,42946,9.2,3/12/2013
7,4,The Spoils of War,42953,9.8,5/4/2116
7,5,Eastwatch,42960,8.8,22/8/2008
7,6,Beyond the Wall,42967,9,7/9/2058
7,7,The Dragon and the Wolf,42974,9.4,19/5/2057
8,1,Winterfell,43569,7.6,23/7/2233
8,2,A Knight of the Seven Kingdoms,43576,7.9,9/6/2228
8,3,The Long Night,43583,7.5,8/5/2448
8,4,The Last of the Starks,43590,5.5,7/4/2318
8,5,The Bells,43597,6,24/3/2387
8,6,The Iron Throne,43604,4.1,5/12/2503
